iter	Passed	Remaining
0	167	167393
1	181	90759
2	195	65129
3	207	51753
4	221	44008
5	234	38847
6	248	35297
7	262	32551
8	278	30681
9	291	28868
10	303	27326
11	317	26140
12	329	25017
13	342	24111
14	352	23158
15	363	22334
16	373	21592
17	382	20872
18	392	20282
19	405	19889
20	420	19616
21	430	19156
22	441	18757
23	450	18338
24	462	18031
25	473	17726
26	482	17395
27	493	17116
28	502	16809
29	513	16603
30	526	16442
31	538	16283
32	552	16189
33	569	16170
34	581	16027
35	594	15918
36	609	15859
37	621	15736
38	630	15538
39	642	15429
40	656	15346
41	667	15222
42	677	15084
43	689	14984
44	701	14887
45	710	14742
46	723	14669
47	735	14591
48	744	14455
49	756	14373
50	768	14294
51	777	14177
52	788	14083
53	799	14004
54	811	13946
55	822	13857
56	832	13772
57	841	13668
58	851	13585
59	860	13483
60	872	13426
61	883	13359
62	891	13263
63	901	13190
64	912	13125
65	921	13038
66	931	12973
67	940	12889
68	951	12837
69	963	12798
70	973	12731
71	1005	12953
72	1031	13100
73	1050	13150
74	1071	13211
75	1089	13248
76	1107	13274
77	1133	13403
78	1151	13423
79	1178	13548
80	1204	13667
81	1220	13668
82	1245	13762
83	1259	13736
84	1268	13655
85	1279	13595
86	1288	13518
87	1301	13483
88	1311	13425
89	1320	13351
90	1331	13298
91	1344	13267
92	1353	13203
93	1364	13146
94	1375	13103
95	1384	13037
96	1400	13039
97	1414	13022
98	1429	13008
99	1443	12988
100	1456	12968
101	1469	12937
102	1482	12913
103	1496	12892
104	1511	12884
105	1525	12863
106	1539	12845
107	1554	12838
108	1566	12809
109	1580	12790
110	1595	12779
111	1609	12761
112	1624	12747
113	1638	12732
114	1652	12713
115	1665	12692
116	1678	12666
117	1691	12639
118	1704	12621
119	1719	12609
120	1734	12599
121	1747	12577
122	1760	12551
123	1773	12528
124	1787	12509
125	1800	12489
126	1812	12458
127	1826	12441
128	1840	12424
129	1854	12410
130	1868	12396
131	1883	12383
132	1896	12362
133	1907	12328
134	1919	12296
135	1927	12246
136	1938	12212
137	1949	12178
138	1959	12136
139	1969	12098
140	1981	12073
141	1992	12037
142	2002	12003
143	2012	11962
144	2022	11925
145	2033	11895
146	2043	11855
147	2052	11818
148	2064	11791
149	2076	11768
150	2128	11965
151	2141	11945
152	2155	11933
153	2169	11917
154	2182	11897
155	2194	11873
156	2206	11849
157	2219	11827
158	2233	11813
159	2242	11772
160	2252	11736
161	2263	11710
162	2272	11670
163	2283	11640
164	2294	11611
165	2303	11571
166	2313	11537
167	2321	11498
168	2338	11499
169	2357	11511
170	2371	11498
171	2390	11509
172	2410	11521
173	2426	11520
174	2445	11529
175	2462	11528
176	2479	11530
177	2499	11542
178	2516	11543
179	2533	11539
180	2553	11553
181	2566	11534
182	2581	11526
183	2592	11497
184	2601	11461
185	2611	11428
186	2621	11399
187	2630	11363
188	2641	11335
189	2650	11299
190	2662	11277
191	2673	11249
192	2682	11215
193	2692	11186
194	2703	11159
195	2713	11131
196	2724	11104
197	2733	11070
198	2744	11045
199	2755	11022
200	2769	11010
201	2781	10989
202	2792	10962
203	2803	10937
204	2812	10905
205	2822	10879
206	2831	10848
207	2842	10822
208	2852	10797
209	2863	10770
210	2873	10744
211	2883	10717
212	2892	10686
213	2902	10660
214	2912	10632
215	2921	10605
216	2930	10574
217	2940	10548
218	2950	10523
219	2960	10497
220	2972	10476
